"Reference","Value","Datasheet","Footprint","Qty","DNP"
"+1","DC 7-12V","~","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","1",""
"BELL1","Screw_Terminal_01x03","~","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","1",""
"BT1","+3V","~","Battery:Battery_Panasonic_CR2032-VS1N_Vertical_CircularHoles","1",""
"C1","100uF","~","Capacitor_THT:CP_Radial_Tantal_D8.0mm_P5.00mm","1",""
"C2,C3","0.1uF","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","2",""
"C4,C7,C8","10uF","~","Capacitor_THT:CP_Radial_Tantal_D7.0mm_P2.50mm","3",""
"C5,C6","22pF","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","2",""
"D1,D3","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D2,D4,D5","LD271","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf","LED_THT:LED_D5.0mm_IRGrey","3",""
"J2","LCD 16X2","~","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","1",""
"K1","Relay_SPDT","~","Relay_THT:Relay_SPDT_Omron_G2RL-1","1",""
"Q1,Q2","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1,R9","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R2,R3,R4","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R5,R6,R7,R8,R12,R13","4.7K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R10,R11","220","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"SW1,SW2,SW3,SW4","SW_Push","~","Button_Switch_THT:SW_PUSH-12mm","4",""
"U1","PIC16F877A-IP","http://ww1.microchip.com/downloads/en/DeviceDoc/39582b.pdf","Package_DIP:DIP-40_W15.24mm_Socket","1",""
"U2","DS1307+","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U3","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"Y1","32.768 KHz","~","Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal","1",""
"Y2","4MHz","~","Crystal:Crystal_HC18-U_Vertical","1",""
